T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
nan,nan,nan,nan,nan,nan,nan,nan,237.79166666666663
nan,nan,nan,nan,nan,nan,nan,nan,334.875
-,-,-,-,-,-,-,-,nan
22.6,29,18.8,-,84,5.3,6.1,9.4,19.416666666666668
22.4,29,20.1,-,88,5.5,4.3,9.4,8.416666666666666
nan,nan,nan,nan,nan,nan,nan,nan,20.916666666666668
nan,nan,nan,nan,nan,nan,nan,nan,19.75
nan,nan,nan,nan,nan,nan,nan,nan,15.75
23.2,28.1,20.1,-,83,6.9,6.1,11.1,0.0
23.3,27.8,20.4,-,79,6.9,6.3,9.4,0.0
23.4,28,20.8,-,79,5.5,8.3,11.1,4.833333333333333
nan,nan,nan,nan,nan,nan,nan,nan,8.291666666666666
nan,nan,nan,nan,nan,nan,nan,nan,9.333333333333334
nan,nan,nan,nan,nan,nan,nan,nan,5.041666666666667
23.9,29.9,20,-,76,6.9,5,7.6,15.375
23.7,30.3,20.6,-,76,6.9,5.2,7.6,19.83333333333333
24,30.3,20.6,-,75,6.9,6.5,9.4,25.79166666666667
23.6,28.8,21,-,77,6.3,5.9,11.1,22.70833333333333
nan,nan,nan,nan,nan,nan,nan,nan,27.125
nan,nan,nan,nan,nan,nan,nan,nan,42.458333333333336
nan,nan,nan,nan,nan,nan,nan,nan,35.5
22.6,29.3,20.3,-,83,5.5,5.7,9.4,31.33333333333333
23.6,28.5,20.4,-,79,6.3,6.1,7.6,47.41666666666666
23.3,28.5,20.6,-,80,6.9,3.7,7.6,33.791666666666664
nan,nan,nan,nan,nan,nan,nan,nan,54.875
nan,nan,nan,nan,nan,nan,nan,nan,49.625
nan,nan,nan,nan,nan,nan,nan,nan,35.041666666666664
23.4,27.6,20,-,83,6.9,5.6,9.4,39.04166666666666
24.6,29.4,20.7,-,77,6.3,4.8,9.4,41.708333333333336
25.2,31.1,20.5,-,72,6.9,5.2,9.4,28.75
nan,nan,nan,nan,nan,nan,nan,nan,31.0
nan,nan,nan,nan,nan,nan,nan,nan,37.79166666666666
nan,nan,nan,nan,nan,nan,nan,nan,34.041666666666664
25.6,31.2,22.3,-,79,6.9,3.3,5.4,12.25
25.3,31.6,22.4,-,74,6.3,3.9,9.4,14.5
23.4,31.6,21,-,80,6.9,3.3,11.1,23.91666666666667
nan,nan,nan,nan,nan,nan,nan,nan,26.45833333333333
nan,nan,nan,nan,nan,nan,nan,nan,25.33333333333333
nan,nan,nan,nan,nan,nan,nan,nan,24.20833333333333
24.4,29.6,19.7,-,67,6.9,3.1,7.6,27.375
23.8,30.1,19.6,-,71,6.3,3.9,7.6,29.20833333333333
22.5,30.1,20.3,-,86,6.3,4.6,7.6,36.5
nan,nan,nan,nan,nan,nan,nan,nan,57.25
nan,nan,nan,nan,nan,nan,nan,nan,38.66666666666666
nan,nan,nan,nan,nan,nan,nan,nan,28.5
25.1,29.7,20.8,-,69,6.9,4.3,5.4,27.83333333333333
25.5,31,21.1,-,66,7.7,3.1,5.4,44.125
25.4,31,21.6,-,67,6.9,2.8,5.4,62.25
25.7,31.7,22,-,70,6.6,2,3.5,60.125
nan,nan,nan,nan,nan,nan,nan,nan,54.25
nan,nan,nan,nan,nan,nan,nan,nan,43.08333333333334
nan,nan,nan,nan,nan,nan,nan,nan,37.41666666666666
22.4,30.8,20,-,87,6,3,5.4,34.666666666666664
23,28.5,19.8,-,82,6.9,5.9,7.6,39.208333333333336
22.9,27.6,20.5,-,82,6.9,5.6,9.4,38.708333333333336
nan,nan,nan,nan,nan,nan,nan,nan,31.375
nan,nan,nan,nan,nan,nan,nan,nan,16.583333333333332
nan,nan,nan,nan,nan,nan,nan,nan,66.83333333333333
23.7,29.7,19.3,-,75,7.7,5.6,9.4,69.95833333333333
23.5,29.7,19.4,-,76,6.3,7.8,11.1,94.375
23.1,28,19.3,-,75,6.3,9.4,18.3,85.75
nan,nan,nan,nan,nan,nan,nan,nan,80.66666666666667
nan,nan,nan,nan,nan,nan,nan,nan,93.66666666666669
nan,nan,nan,nan,nan,nan,nan,nan,39.5
24.2,29.4,20.2,-,76,6.3,3.7,11.1,51.66666666666666
22.9,29.4,20.4,-,83,5.5,6.3,11.1,39.41666666666666
23.6,29.4,19.2,-,77,6.9,2.8,7.6,23.95833333333333
nan,nan,nan,nan,nan,nan,nan,nan,19.916666666666668
nan,nan,nan,nan,nan,nan,nan,nan,11.5
nan,nan,nan,nan,nan,nan,nan,nan,32.958333333333336
24.3,33.2,18.7,-,76,6.9,1.3,3.5,43.5
23.2,30.3,20,-,82,6.9,2.2,5.4,50.41666666666666
23.8,31.6,20.2,-,78,6,2.4,5.4,55.70833333333334
nan,nan,nan,nan,nan,nan,nan,nan,47.08333333333334
nan,nan,nan,nan,nan,nan,nan,nan,51.45833333333334
nan,nan,nan,nan,nan,nan,nan,nan,35.541666666666664
24.5,30,21,-,77,6.9,2,5.4,57.125
24.6,30,21.7,-,78,6.3,3.5,5.4,69.375
24.7,29.8,21.3,-,77,6.9,3.9,9.4,65.375
nan,nan,nan,nan,nan,nan,nan,nan,75.625
nan,nan,nan,nan,nan,nan,nan,nan,88.95833333333331
nan,nan,nan,nan,nan,nan,nan,nan,93.25
24.2,30.2,20.3,-,79,6.9,3.9,9.4,112.29166666666669
24,30.2,20.9,-,77,6.9,3.5,5.4,97.70833333333331
24.3,29.4,20.6,-,75,6.9,7.2,11.1,80.70833333333333
